Algorithm,RUN,Epochs
Prosty perceptron - unipolar,84,3
Prosty perceptron - unipolar,85,3
Prosty perceptron - unipolar,86,2
Prosty perceptron - unipolar,87,4
Prosty perceptron - unipolar,88,4
Prosty perceptron - unipolar,89,6
Prosty perceptron - unipolar,90,4
Prosty perceptron - unipolar,91,5
Prosty perceptron - unipolar,92,4
Prosty perceptron - unipolar,93,3
Prosty perceptron - unipolar,94,3
Prosty perceptron - unipolar,95,4
Prosty perceptron - unipolar,96,4
Prosty perceptron - unipolar,97,5
Prosty perceptron - unipolar,98,3
Prosty perceptron - unipolar,99,4
Prosty perceptron - unipolar,100,3
