Weights [LOW],Weights [HIGH],RUN,Epochs
-0.05,0.05,10,14
-0.05,0.05,11,15
-0.05,0.05,12,15
-0.05,0.05,13,14
-0.05,0.05,14,14
-0.05,0.05,15,15
-0.05,0.05,16,15
-0.05,0.05,17,15
-0.05,0.05,18,14
-0.05,0.05,19,14
-0.05,0.05,20,14
-0.05,0.05,21,14
-0.05,0.05,22,15
-0.05,0.05,23,14
-0.05,0.05,24,13
-0.05,0.05,25,14
-0.05,0.05,26,15
-0.05,0.05,27,14
-0.05,0.05,28,14
-0.05,0.05,29,15
-0.05,0.05,30,14
-0.05,0.05,31,14
-0.05,0.05,32,14
-0.05,0.05,33,15
-0.05,0.05,34,14
-0.05,0.05,35,14
-0.05,0.05,36,15
-0.05,0.05,37,15
-0.05,0.05,38,15
-0.05,0.05,39,14
-0.05,0.05,40,14
-0.05,0.05,41,15
-0.05,0.05,42,14
-0.05,0.05,43,15
-0.05,0.05,44,14
-0.05,0.05,45,15
-0.05,0.05,46,15
-0.05,0.05,47,14
-0.05,0.05,48,15
-0.05,0.05,49,14
-0.05,0.05,50,15
-0.05,0.05,51,15
-0.05,0.05,52,14
-0.05,0.05,53,14
-0.05,0.05,54,14
-0.05,0.05,55,15
-0.05,0.05,56,14
-0.05,0.05,57,15
-0.05,0.05,58,14
-0.05,0.05,59,15
-0.05,0.05,60,15
-0.05,0.05,61,15
-0.05,0.05,62,14
-0.05,0.05,63,15
-0.05,0.05,64,14
-0.05,0.05,65,15
-0.05,0.05,66,14
-0.05,0.05,67,15
-0.05,0.05,68,15
-0.05,0.05,69,15
-0.05,0.05,70,15
-0.05,0.05,71,14
-0.05,0.05,72,15
-0.05,0.05,73,14
-0.05,0.05,74,15
-0.05,0.05,75,14
-0.05,0.05,76,13
-0.05,0.05,77,14
-0.05,0.05,78,14
-0.05,0.05,79,14
-0.05,0.05,80,15
-0.05,0.05,81,15
-0.05,0.05,82,14
-0.05,0.05,83,15
-0.05,0.05,84,14
-0.05,0.05,85,14
-0.05,0.05,86,15
-0.05,0.05,87,15
-0.05,0.05,88,14
-0.05,0.05,89,14
-0.05,0.05,90,14
-0.05,0.05,91,14
-0.05,0.05,92,14
-0.05,0.05,93,15
-0.05,0.05,94,14
-0.05,0.05,95,15
-0.05,0.05,96,15
-0.05,0.05,97,15
-0.05,0.05,98,15
-0.05,0.05,99,14
-0.05,0.05,100,14
-0.0,0.0,1,14
-0.0,0.0,2,14
-0.0,0.0,3,14
-0.0,0.0,4,14
-0.0,0.0,5,14
-0.0,0.0,6,14
-0.0,0.0,7,14
-0.0,0.0,8,14
-0.0,0.0,9,14
-0.0,0.0,10,14
-0.0,0.0,11,14
-0.0,0.0,12,14
-0.0,0.0,13,14
-0.0,0.0,14,14
-0.0,0.0,15,14
-0.0,0.0,16,14
-0.0,0.0,17,14
-0.0,0.0,18,14
-0.0,0.0,19,14
-0.0,0.0,20,14
-0.0,0.0,21,14
-0.0,0.0,22,14
-0.0,0.0,23,14
-0.0,0.0,24,14
-0.0,0.0,25,14
-0.0,0.0,26,14
-0.0,0.0,27,14
-0.0,0.0,28,14
-0.0,0.0,29,14
-0.0,0.0,30,14
-0.0,0.0,31,14
-0.0,0.0,32,14
-0.0,0.0,33,14
-0.0,0.0,34,14
-0.0,0.0,35,14
-0.0,0.0,36,14
-0.0,0.0,37,14
-0.0,0.0,38,14
-0.0,0.0,39,14
-0.0,0.0,40,14
-0.0,0.0,41,14
-0.0,0.0,42,14
-0.0,0.0,43,14
-0.0,0.0,44,14
-0.0,0.0,45,14
-0.0,0.0,46,14
-0.0,0.0,47,14
-0.0,0.0,48,14
-0.0,0.0,49,14
-0.0,0.0,50,14
-0.0,0.0,51,14
-0.0,0.0,52,14
-0.0,0.0,53,14
-0.0,0.0,54,14
-0.0,0.0,55,14
-0.0,0.0,56,14
-0.0,0.0,57,14
-0.0,0.0,58,14
-0.0,0.0,59,14
-0.0,0.0,60,14
-0.0,0.0,61,14
-0.0,0.0,62,14
-0.0,0.0,63,14
-0.0,0.0,64,14
-0.0,0.0,65,14
-0.0,0.0,66,14
-0.0,0.0,67,14
-0.0,0.0,68,14
-0.0,0.0,69,14
-0.0,0.0,70,14
-0.0,0.0,71,14
-0.0,0.0,72,14
-0.0,0.0,73,14
-0.0,0.0,74,14
-0.0,0.0,75,14
-0.0,0.0,76,14
-0.0,0.0,77,14
-0.0,0.0,78,14
-0.0,0.0,79,14
-0.0,0.0,80,14
-0.0,0.0,81,14
-0.0,0.0,82,14
-0.0,0.0,83,14
-0.0,0.0,84,14
-0.0,0.0,85,14
-0.0,0.0,86,14
-0.0,0.0,87,14
-0.0,0.0,88,14
-0.0,0.0,89,14
-0.0,0.0,90,14
-0.0,0.0,91,14
-0.0,0.0,92,14
-0.0,0.0,93,14
-0.0,0.0,94,14
-0.0,0.0,95,14
-0.0,0.0,96,14
-0.0,0.0,97,14
-0.0,0.0,98,14
-0.0,0.0,99,14
-0.0,0.0,100,14
